team,season,comp,rank
Manchester City,2021,Premier-League-Stats,1
Liverpool,2021,Premier-League-Stats,2
Chelsea,2021,Premier-League-Stats,3
Tottenham Hotspur,2021,Premier-League-Stats,4
Arsenal,2021,Premier-League-Stats,5
Manchester United,2021,Premier-League-Stats,6
West Ham United,2021,Premier-League-Stats,7
Leicester City,2021,Premier-League-Stats,8
Brighton and Hove Albion,2021,Premier-League-Stats,9
Wolverhampton Wanderers,2021,Premier-League-Stats,10
Newcastle United,2021,Premier-League-Stats,11
Crystal Palace,2021,Premier-League-Stats,12
Brentford,2021,Premier-League-Stats,13
Aston Villa,2021,Premier-League-Stats,14
Southampton,2021,Premier-League-Stats,15
Everton,2021,Premier-League-Stats,16
Leeds United,2021,Premier-League-Stats,17
Burnley,2021,Premier-League-Stats,18
Watford,2021,Premier-League-Stats,19
Norwich City,2021,Premier-League-Stats,20
Fulham,2021,Championship-Stats,1
Bournemouth,2021,Championship-Stats,2
Huddersfield Town,2021,Championship-Stats,3
Nottingham Forest,2021,Championship-Stats,4
Sheffield United,2021,Championship-Stats,5
Luton Town,2021,Championship-Stats,6
Middlesbrough,2021,Championship-Stats,7
Blackburn Rovers,2021,Championship-Stats,8
Millwall,2021,Championship-Stats,9
West Bromwich Albion,2021,Championship-Stats,10
Queens Park Rangers,2021,Championship-Stats,11
Coventry City,2021,Championship-Stats,12
Preston North End,2021,Championship-Stats,13
Stoke City,2021,Championship-Stats,14
Swansea City,2021,Championship-Stats,15
Blackpool,2021,Championship-Stats,16
Bristol City,2021,Championship-Stats,17
Cardiff City,2021,Championship-Stats,18
Hull City,2021,Championship-Stats,19
Birmingham City,2021,Championship-Stats,20
Reading,2021,Championship-Stats,21
Peterborough United,2021,Championship-Stats,22
Derby County,2021,Championship-Stats,23
Barnsley,2021,Championship-Stats,24
Manchester City,2020,Premier-League-Stats,1
Manchester United,2020,Premier-League-Stats,2
Liverpool,2020,Premier-League-Stats,3
Chelsea,2020,Premier-League-Stats,4
Leicester City,2020,Premier-League-Stats,5
West Ham United,2020,Premier-League-Stats,6
Tottenham Hotspur,2020,Premier-League-Stats,7
Arsenal,2020,Premier-League-Stats,8
Leeds United,2020,Premier-League-Stats,9
Everton,2020,Premier-League-Stats,10
Aston Villa,2020,Premier-League-Stats,11
Newcastle United,2020,Premier-League-Stats,12
Wolverhampton Wanderers,2020,Premier-League-Stats,13
Crystal Palace,2020,Premier-League-Stats,14
Southampton,2020,Premier-League-Stats,15
Brighton and Hove Albion,2020,Premier-League-Stats,16
Burnley,2020,Premier-League-Stats,17
Fulham,2020,Premier-League-Stats,18
West Bromwich Albion,2020,Premier-League-Stats,19
Sheffield United,2020,Premier-League-Stats,20
Norwich City,2020,Championship-Stats,1
Watford,2020,Championship-Stats,2
Brentford,2020,Championship-Stats,3
Swansea City,2020,Championship-Stats,4
Barnsley,2020,Championship-Stats,5
Bournemouth,2020,Championship-Stats,6
Reading,2020,Championship-Stats,7
Cardiff City,2020,Championship-Stats,8
Queens Park Rangers,2020,Championship-Stats,9
Middlesbrough,2020,Championship-Stats,10
Millwall,2020,Championship-Stats,11
Luton Town,2020,Championship-Stats,12
Preston North End,2020,Championship-Stats,13
Stoke City,2020,Championship-Stats,14
Blackburn Rovers,2020,Championship-Stats,15
Coventry City,2020,Championship-Stats,16
Nottingham Forest,2020,Championship-Stats,17
Birmingham City,2020,Championship-Stats,18
Bristol City,2020,Championship-Stats,19
Huddersfield Town,2020,Championship-Stats,20
Derby County,2020,Championship-Stats,21
Wycombe Wanderers,2020,Championship-Stats,22
Rotherham United,2020,Championship-Stats,23
Sheffield Wednesday,2020,Championship-Stats,24
Liverpool,2019,Premier-League-Stats,1
Manchester City,2019,Premier-League-Stats,2
Manchester United,2019,Premier-League-Stats,3
Chelsea,2019,Premier-League-Stats,4
Leicester City,2019,Premier-League-Stats,5
Tottenham Hotspur,2019,Premier-League-Stats,6
Wolverhampton Wanderers,2019,Premier-League-Stats,7
Arsenal,2019,Premier-League-Stats,8
Sheffield United,2019,Premier-League-Stats,9
Burnley,2019,Premier-League-Stats,10
Southampton,2019,Premier-League-Stats,11
Everton,2019,Premier-League-Stats,12
Newcastle United,2019,Premier-League-Stats,13
Crystal Palace,2019,Premier-League-Stats,14
Brighton and Hove Albion,2019,Premier-League-Stats,15
West Ham United,2019,Premier-League-Stats,16
Aston Villa,2019,Premier-League-Stats,17
Bournemouth,2019,Premier-League-Stats,18
Watford,2019,Premier-League-Stats,19
Norwich City,2019,Premier-League-Stats,20
Leeds United,2019,Championship-Stats,1
West Bromwich Albion,2019,Championship-Stats,2
Brentford,2019,Championship-Stats,3
Fulham,2019,Championship-Stats,4
Cardiff City,2019,Championship-Stats,5
Swansea City,2019,Championship-Stats,6
Nottingham Forest,2019,Championship-Stats,7
Millwall,2019,Championship-Stats,8
Preston North End,2019,Championship-Stats,9
Derby County,2019,Championship-Stats,10
Blackburn Rovers,2019,Championship-Stats,11
Bristol City,2019,Championship-Stats,12
Queens Park Rangers,2019,Championship-Stats,13
Reading,2019,Championship-Stats,14
Stoke City,2019,Championship-Stats,15
Sheffield Wednesday,2019,Championship-Stats,16
Middlesbrough,2019,Championship-Stats,17
Huddersfield Town,2019,Championship-Stats,18
Luton Town,2019,Championship-Stats,19
Birmingham City,2019,Championship-Stats,20
Barnsley,2019,Championship-Stats,21
Charlton Athletic,2019,Championship-Stats,22
Wigan Athletic,2019,Championship-Stats,23
Hull City,2019,Championship-Stats,24
