date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
2017-08-05,15:00,Championship,Matchweek 1,Sat,Home,W,1,0,Middlesbrough,48,29692,Conor Coady,3-4-3,Darren Bond,Match Report,,10,2,,,0,0,2017,Wolverhampton Wanderers
2017-08-12,15:00,Championship,Matchweek 2,Sat,Away,W,2,0,Derby County,48,27757,Conor Coady,3-4-3,Lee Probert,Match Report,,13,3,,,0,0,2017,Wolverhampton Wanderers
2017-08-15,19:45,Championship,Matchweek 3,Tue,Away,W,3,2,Hull City,58,17145,Conor Coady,3-4-3,Jeremy Simpson,Match Report,,8,4,,,0,0,2017,Wolverhampton Wanderers
2017-08-19,15:00,Championship,Matchweek 4,Sat,Home,L,1,2,Cardiff City,64,27068,Conor Coady,3-4-3,Scott Duncan,Match Report,,12,3,,,0,0,2017,Wolverhampton Wanderers
2017-08-26,15:00,Championship,Matchweek 5,Sat,Away,D,0,0,Brentford,47,10351,Conor Coady,3-4-3,Tim Robinson,Match Report,,15,4,,,0,0,2017,Wolverhampton Wanderers
2017-09-09,15:00,Championship,Matchweek 6,Sat,Home,W,1,0,Millwall,68,24426,Danny Batth,3-4-3,Robert Madley,Match Report,,19,7,,,0,0,2017,Wolverhampton Wanderers
2017-09-12,19:45,Championship,Matchweek 7,Tue,Home,D,3,3,Bristol City,54,23045,Danny Batth,3-4-3,Steve Martin,Match Report,,21,7,,,0,0,2017,Wolverhampton Wanderers
2017-09-16,15:00,Championship,Matchweek 8,Sat,Away,W,2,1,Nott'ham Forest,44,25756,Danny Batth,3-4-3,Geoff Eltringham,Match Report,,11,7,,,0,0,2017,Wolverhampton Wanderers
2017-09-23,15:00,Championship,Matchweek 9,Sat,Home,W,2,1,Barnsley,50,28154,Danny Batth,3-4-3,Jeremy Simpson,Match Report,,14,4,,,0,0,2017,Wolverhampton Wanderers
2017-09-27,19:45,Championship,Matchweek 10,Wed,Away,L,0,2,Sheffield Utd,45,25893,Danny Batth,3-4-3,Peter Bankes,Match Report,,7,2,,,0,1,2017,Wolverhampton Wanderers
2017-09-30,15:00,Championship,Matchweek 11,Sat,Away,W,4,0,Burton Albion,53,5080,Danny Batth,3-4-3,Tony Harrington,Match Report,,14,6,,,0,0,2017,Wolverhampton Wanderers
2017-10-14,17:30,Championship,Matchweek 12,Sat,Home,W,2,0,Aston Villa,56,30239,Danny Batth,3-4-3,Andrew Davies,Match Report,,20,6,,,0,0,2017,Wolverhampton Wanderers
