date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
2018-08-04,15:00,Championship,Matchweek 1,Sat,Away,D,2,2,Birmingham City,1.8,1.3,70.0,22677.0,Grant Hanley,4-1-4-1,Peter Bankes,Match Report,,17.0,7.0,15.0,0.0,0.0,0.0,2018,Norwich City
2018-08-11,15:00,Championship,Matchweek 2,Sat,Home,L,3,4,West Brom,3.5,1.4,59.0,25144.0,Grant Hanley,4-3-3,Lee Mason,Match Report,,19.0,9.0,19.0,0.0,0.0,1.0,2018,Norwich City
2018-08-18,15:00,Championship,Matchweek 3,Sat,Away,L,1,2,Sheffield Utd,2.3,1.8,47.0,23850.0,Grant Hanley,4-2-3-1,Darren Bond,Match Report,,11.0,2.0,13.1,1.0,0.0,0.0,2018,Norwich City
2018-08-22,19:45,Championship,Matchweek 4,Wed,Home,W,2,0,Preston,0.6,0.4,50.0,24936.0,Grant Hanley,4-2-3-1,Gavin Ward,Match Report,,12.0,3.0,17.8,1.0,0.0,0.0,2018,Norwich City
2018-08-25,15:00,Championship,Matchweek 5,Sat,Home,L,0,3,Leeds United,0.5,0.6,42.0,25944.0,Grant Hanley,4-2-3-1,Simon Hooper,Match Report,,10.0,2.0,16.2,0.0,0.0,0.0,2018,Norwich City
2018-09-02,12:00,Championship,Matchweek 6,Sun,Away,D,1,1,Ipswich Town,0.8,1.5,55.0,25690.0,Grant Hanley,4-2-3-1,Robert Jones,Match Report,,11.0,2.0,16.0,0.0,0.0,0.0,2018,Norwich City
2018-09-15,15:00,Championship,Matchweek 7,Sat,Home,W,1,0,Middlesbrough,0.7,0.6,62.0,24642.0,Alexander Tettey,4-3-3,James Linington,Match Report,,16.0,6.0,22.9,1.0,0.0,0.0,2018,Norwich City
2018-09-19,20:00,Championship,Matchweek 8,Wed,Away,W,2,1,Reading,0.6,0.9,52.0,12822.0,Alexander Tettey,4-2-3-1,Tim Robinson,Match Report,,11.0,5.0,18.4,0.0,0.0,0.0,2018,Norwich City
2018-09-22,17:30,Championship,Matchweek 9,Sat,Away,W,1,0,QPR,1.1,0.5,63.0,12843.0,Alexander Tettey,4-2-3-1,Darren Bond,Match Report,,9.0,4.0,15.5,0.0,0.0,0.0,2018,Norwich City
2018-09-29,15:00,Championship,Matchweek 10,Sat,Home,W,1,0,Wigan Athletic,1.4,0.5,56.0,25034.0,Alexander Tettey,4-2-3-1,Gavin Ward,Match Report,,13.0,3.0,19.7,0.0,1.0,1.0,2018,Norwich City
